	   1	-10.2450122206
	   3	-10.7516798092
	   4	-11.9252399333
	   8	-12.2900961637
	   9	-12.3070766879
	  11	-14.0432156845
	  18	-14.5518162435
	  37	-14.9926529925
	  53	-15.6247830359
	  81	-16.0061288377
	  87	-16.2037594097
	 102	-16.2055423482
	 136	-16.4174184550
	 140	-16.5132697477
	 141	-16.6246842029
	 146	-16.6694805690
	 151	-16.6747349812
	 209	-16.6748644055
	 256	-16.6785388809
	 257	-16.6895317865
	 277	-16.6951600724
	 278	-16.7056873941
	 282	-16.7210125812
	 283	-16.7277901918
	 329	-16.7553941311
	 348	-16.7554367356
	 356	-16.7575805603
	 364	-16.7785184627
	 371	-16.7824218203
	 417	-16.7952606840
	 425	-16.7953790458
	 431	-16.8170677017
	 437	-16.8497984231
	 438	-16.9196385863
	 446	-16.9448526705
	 453	-16.9511659239
	 460	-16.9524212911
	 467	-16.9569505716
	 545	-16.9586797241
	 546	-16.9636084515
	 577	-16.9667951415
	 578	-16.9760502306
	 586	-16.9775474801
	 605	-16.9818240346
	 610	-16.9827576698
	 619	-16.9831554622
	 626	-16.9862891673
	 627	-16.9880127514
	 633	-16.9919036549
	 634	-17.0455708890
	 700	-17.0459139862
	 722	-17.0462236721
	 743	-17.0476513099
	 791	-17.0476995629
	 825	-17.0478084311
	 858	-17.0478483347
	 906	-17.0478502220
	 907	-17.0478558837
	 914	-17.0478601908
	 915	-17.0478681715
	 916	-17.0478855902
	 924	-17.0478882933
	 932	-17.0478894776
	 968	-17.0478953532
	 976	-17.0478962128
	 985	-17.0478971818
	1024	-17.0478973250
	1033	-17.0478980145
	1034	-17.0479001215
	1071	-17.0479005830
	1091	-17.0479016873
	1099	-17.0479018344
	1191	-17.0479018784
	1249	-17.0479018828
	1270	-17.0479018836
	1276	-17.0479018866
	1283	-17.0479018868
	1290	-17.0479018888
	1342	-17.0479018907
	1378	-17.0479018912
	1414	-17.0479018913
	1415	-17.0479018916
	1416	-17.0479018927
	1417	-17.0479018975
	1418	-17.0479019164
	1419	-17.0479019922
	1420	-17.0479022951
	1423	-17.0479023303
	1424	-17.0479023969
	1432	-17.0479024466
	1466	-17.0479024822
	1487	-17.0479024844
	1493	-17.0479024873
	1500	-17.0479024873
