test
OBJ EB BC PB PB    1	37195.0000000000
   3	35195.0000000000
   8	33195.0000000000
  10	31195.0000000000
  18	29195.0000000000
  20	25195.0000000000
  30	15195.0000000000
  72	11195.0000000000
 121	9415.0000000000
 154	7975.0000000000
 194	6915.0000000000
 196	6735.0000000000
 245	5655.0000000000
 246	5475.0000000000
 247	4755.0000000000
 282	4575.0000000000
 306	2215.0000000000
 358	2075.0000000000
 376	1908.6000000000
 393	1828.6000000000
 435	1739.6000000000
 469	1708.4000000000
 470	1614.8000000000
 479	1414.8000000000
 488	1394.8000000000
 492	568.6000000000
 530	442.8000000000
 557	395.6000000000
 586	329.2000000000
 674	326.0000000000
 680	312.8000000000
 691	248.8000000000
 698	233.0000000000
 738	153.6000000000
 777	129.8000000000
 782	106.6000000000
 826	93.3200000000
 833	74.5200000000
 852	44.9200000000
 855	42.8000000000
 878	39.2000000000
 912	6.1300000000
 935	1.5600000000
 965	1.4600000000
1004	0.0100000000
1150	0.0000000000
