   1	50795.0000000000
   7	46795.0000000000
   8	34795.0000000000
  10	30795.0000000000
  12	28795.0000000000
  36	28255.0000000000
  42	26255.0000000000
  65	25675.0000000000
  76	23675.0000000000
 117	22675.0000000000
 124	20655.0000000000
 153	18655.0000000000
 154	18375.0000000000
 196	17475.0000000000
 218	13135.0000000000
 266	12555.0000000000
 301	12395.0000000000
 303	11755.0000000000
 336	11115.0000000000
 346	10715.0000000000
 383	10055.0000000000
 407	9655.0000000000
 413	9035.0000000000
 468	8977.6000000000
 472	8660.6000000000
 494	8489.4000000000
 533	8486.2000000000
 534	8476.6000000000
 542	8356.6000000000
 579	8316.6000000000
 586	8251.0000000000
 626	8236.4000000000
 635	8234.2000000000
 663	8228.2000000000
 684	8158.0000000000
 733	8149.0000000000
 740	8137.1000000000
 766	8132.3000000000
 792	8115.7000000000
 851	8113.8500000000
 903	8104.7300000000
 921	8052.4600000000
 940	8044.4100000000
 959	8044.0100000000
 970	8039.4300000000
1010	8022.3600000000
1035	8020.6000000000
1077	8014.6400000000
1099	8012.6300000000
1124	8010.7700000000
1149	8008.2800000000
1171	7998.6100000000
1175	7995.5800000000
1209	7992.3900000000
1247	7992.1000000000
1248	7991.0200000000
1255	7990.3500000000
1256	7988.3400000000
1281	7984.0800000000
1282	7971.7400000000
1283	7932.5300000000
1308	7931.5600000000
1317	7930.7300000000
1318	7929.5300000000
1372	7909.0600000000
1393	7899.1600000000
1449	7898.8200000000
1464	7897.3700000000
1470	7894.3500000000
1476	7892.5400000000
1485	7888.5600000000
